สถิติการนับก้าว,,,,
ระหว่างวันที่ 24 สิงหาคม 2569 - 13 พฤศจิกายน 2569,,,,
ฝ่าย..................................................... สำนักงานเขตลาดพร้าว,,,,
ชื่อ - นามสกุล,,,,
เพศ,,,,
อายุ,,,,
ส่วนสูง,,,,
น้ำหนัก,ก่อน..........................................,หลัง.................................................,,
BMI,ก่อน..........................................,หลัง.................................................,,
สถิติการนับก้าว,,,,
เดือน,สิงหาคม 2569,,,
วันที่ 24,,,,
วันที่ 25,,,,
วันที่ 26,,,,
วันที่ 27,,,,
วันที่ 28,,,,
วันที่ 29,,,,
วันที่ 30,,,,
วันที่ 31,,,,
เดือน,กันยายน 2569,,,
วันที่ 1,,,,
วันที่ 2,,,,
วันที่ 3,,,,
วันที่ 4,,,,
วันที่ 5,,,,
วันที่ 6,,,,
วันที่ 7,,,,
วันที่ 8,,,,
วันที่ 9,,,,
วันที่ 10,,,,
วันที่ 11,,,,
วันที่ 12,,,,
วันที่ 13,,,,
วันที่ 14,,,,
วันที่ 15,,,,
วันที่ 16,,,,
วันที่ 17,,,,
วันที่ 18,,,,
วันที่ 19,,,,
วันที่ 20,,,,
วันที่ 21,,,,
วันที่ 22,,,,
วันที่ 23,,,,
วันที่ 24,,,,
วันที่ 25,,,,
วันที่ 26,,,,
วันที่ 27,,,,
วันที่ 28,,,,
วันที่ 29,,,,
วันที่ 30,,,,
เดือน,ตุลาคม 2569,,,
วันที่ 1,,,,
วันที่ 2,,,,
วันที่ 3,,,,
วันที่ 4,,,,
วันที่ 5,,,,
วันที่ 6,,,,
วันที่ 7,,,,
วันที่ 8,,,,
วันที่ 9,,,,
วันที่ 10,,,,
วันที่ 11,,,,
วันที่ 12,,,,
วันที่ 13,,,,
วันที่ 14,,,,
วันที่ 15,,,,
วันที่ 16,,,,
วันที่ 17,,,,
วันที่ 18,,,,
วันที่ 19,,,,
วันที่ 20,,,,
วันที่ 21,,,,
วันที่ 22,,,,
วันที่ 23,,,,
วันที่ 24,,,,
วันที่ 25,,,,
วันที่ 26,,,,
วันที่ 27,,,,
วันที่ 28,,,,
วันที่ 29,,,,
วันที่ 30,,,,
วันที่ 31,,,,
เดือน,พฤศจิกายน 2569,,,
วันที่ 1,,,,
วันที่ 2,,,,
วันที่ 3,,,,
วันที่ 4,,,,
วันที่ 5,,,,
วันที่ 6,,,,
วันที่ 7,,,,
วันที่ 8,,,,
วันที่ 9,,,,
วันที่ 10,,,,
วันที่ 11,,,,
วันที่ 12,,,,
วันที่ 13,,,,
